User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,GDP ($ per capita)
1,Basic,10,15-01-22,10-06-23,United States,28,Male,Smartphone,1 Month,37800.0
2,Premium,15,05-09-21,22-06-23,Canada,35,Female,Tablet,1 Month,29800.0
3,Standard,12,28-02-23,27-06-23,United Kingdom,42,Male,Smart TV,1 Month,27700.0
4,Standard,12,10-07-22,26-06-23,Australia,51,Female,Laptop,1 Month,29000.0
5,Basic,10,01-05-23,28-06-23,Germany,33,Male,Smartphone,1 Month,27600.0
6,Premium,15,18-03-22,27-06-23,France,29,Female,Smart TV,1 Month,27600.0
7,Standard,12,09-12-21,25-06-23,Brazil,46,Male,Tablet,1 Month,7600.0
8,Basic,10,02-04-23,24-06-23,Mexico,39,Female,Laptop,1 Month,9000.0
9,Standard,12,20-10-22,23-06-23,Spain,37,Male,Smartphone,1 Month,22000.0
10,Premium,15,07-01-23,22-06-23,Italy,44,Female,Smart TV,1 Month,26700.0
11,Basic,10,16-05-22,22-06-23,United States,31,Female,Smartphone,1 Month,37800.0
12,Premium,15,23-03-23,28-06-23,Canada,45,Male,Tablet,1 Month,29800.0
13,Standard,12,30-11-21,27-06-23,United Kingdom,48,Female,Laptop,1 Month,27700.0
14,Basic,10,01-08-22,26-06-23,Australia,27,Male,Smartphone,1 Month,29000.0
15,Standard,12,09-05-23,28-06-23,Germany,38,Female,Smart TV,1 Month,27600.0
16,Premium,15,07-04-22,27-06-23,France,36,Male,Tablet,1 Month,27600.0
17,Basic,10,24-01-22,25-06-23,Brazil,30,Female,Laptop,1 Month,7600.0
18,Standard,12,18-10-21,24-06-23,Mexico,43,Male,Smartphone,1 Month,9000.0
19,Premium,15,15-02-23,23-06-23,Spain,32,Female,Smart TV,1 Month,22000.0
20,Basic,10,27-05-23,22-06-23,Italy,41,Male,Tablet,1 Month,26700.0
21,Premium,15,10-06-23,22-06-23,United States,26,Female,Laptop,1 Month,37800.0
22,Basic,10,22-07-22,28-06-23,Canada,34,Male,Smartphone,1 Month,29800.0
23,Standard,12,05-12-21,27-06-23,United Kingdom,49,Female,Smart TV,1 Month,27700.0
24,Standard,12,03-04-22,26-06-23,Australia,31,Male,Tablet,1 Month,29000.0
25,Basic,10,14-03-23,28-06-23,Germany,40,Female,Laptop,1 Month,27600.0
26,Premium,15,12-01-22,27-06-23,France,29,Male,Smartphone,1 Month,27600.0
